time,input,output,dexa,dexb,dexc,token0,token1,token2 
1650768427437,10,9.574644757770235,spooky,spooky,spooky,FTM,MIM,TOMB
1650768427796,10,9.589087759375156,spooky,spooky,spooky,FTM,TOMB,MIM
1650768428116,10,9.945555706704738,spooky,spooky,spooky,FTM,TOMB,BOO
1650768428456,10,9.837621181777381,spooky,spooky,spooky,FTM,BOO,TOMB
1650768428710,10,9.944636293979787,spooky,spooky,spooky,FTM,ETH,WBTC
1650768429023,10,9.934890349446308,spooky,spooky,spooky,FTM,WBTC,ETH
1650768429333,10,9.89276632569001,spooky,spooky,spooky,FTM,ICE,ANY
1650768429696,10,9.906739464150263,spooky,spooky,spooky,FTM,ANY,ICE
1650768430023,10,9.576582923828008,spooky,spooky,spooky,MIM,FTM,TOMB
1650768430305,10,9.560738067927192,spooky,spooky,spooky,MIM,TOMB,FTM
1650768430653,10,9.581288088849208,spooky,spooky,spooky,TOMB,FTM,MIM
1650768430956,10,9.838545891240752,spooky,spooky,spooky,TOMB,FTM,BOO
1650768431289,10,9.594383969016903,spooky,spooky,spooky,TOMB,MIM,FTM
1650768431591,10,9.946303487278984,spooky,spooky,spooky,TOMB,BOO,FTM
1650768431852,10,9.94532398772155,spooky,spooky,spooky,BOO,FTM,TOMB
1650768432121,10,9.837342616654585,spooky,spooky,spooky,BOO,TOMB,FTM
1650768432499,10,9.934925385383922,spooky,spooky,spooky,ETH,FTM,WBTC
1650768432807,10,9.944842431558316,spooky,spooky,spooky,ETH,WBTC,FTM
1650768433078,10,9.94492547,spooky,spooky,spooky,WBTC,FTM,ETH
1650768433384,10,9.93513515,spooky,spooky,spooky,WBTC,ETH,FTM
1650768433664,10,9.90466693309385,spooky,spooky,spooky,ICE,FTM,ANY
1650768433991,10,9.890532718779376,spooky,spooky,spooky,ICE,ANY,FTM
1650768434258,10,9.896413629030413,spooky,spooky,spooky,ANY,FTM,ICE
1650768434558,10,9.91024905564886,spooky,spooky,spooky,ANY,ICE,FTM
1650768434819,10,9.563473218787482,spooky,spooky,spooky,FTM,MIM,TOMB
1650768435081,10,9.57671266226917,spooky,spooky,spooky,FTM,TOMB,MIM
1650768435339,10,9.824952875776113,spooky,spooky,spooky,FTM,BOO,TOMB
1650768435621,10,9.925196767981431,spooky,spooky,spooky,FTM,ETH,WBTC
1650768435923,10,9.936102701187261,spooky,spooky,spooky,FTM,WBTC,ETH
1650768436199,10,9.89697844874418,spooky,spooky,spooky,FTM,ICE,ANY
1650768436500,10,9.945683236246003,spooky,spooky,spooky,FTM,ANY,ICE
1650768436804,10,9.4094324573194,spooky,spooky,spooky,DAI,FTM,MIM
1650768437093,10,9.337706894834199,spooky,spooky,spooky,DAI,FTM,SPIRIT
1650768437401,10,9.7020274197321,spooky,spooky,spooky,LQDR,FTM,MIM
1650768437731,10,9.442356003153472,spooky,spooky,spooky,LQDR,FTM,SPIRIT
1650768438052,10,9.49397451102303,spooky,spooky,spooky,MIM,FTM,DAI
1650768438308,10,9.706622611872604,spooky,spooky,spooky,MIM,FTM,LQDR
1650768438638,10,9.553856291450963,spooky,spooky,spooky,MIM,TOMB,FTM
1650768438923,10,9.502808834336133,spooky,spooky,spooky,TOMB,MIM,FTM
1650768439264,10,9.849807099167041,spooky,spooky,spooky,TOMB,BOO,FTM
1650768439690,10,9.482102213660472,spooky,spooky,spooky,SPIRIT,FTM,DAI
1650768439972,10,9.44431970900869,spooky,spooky,spooky,SPIRIT,FTM,LQDR
1650768440308,10,9.923676305907437,spooky,spooky,spooky,ETH,WBTC,FTM
1650768440621,10,9.93431929,spooky,spooky,spooky,WBTC,ETH,FTM
1650768440913,10,9.832015155945703,spooky,spooky,spooky,ICE,ANY,FTM
1650768441193,10,9.882219889609495,spooky,spooky,spooky,ANY,ICE,FTM
1650768441525,10,9.846950293696393,spooky,spooky,spooky,FTM,ETH,WBTC
1650768441819,10,9.900433041525437,spooky,spooky,spooky,FTM,WBTC,ETH
1650768442161,10,9.8827997054183,spooky,spooky,spooky,FTM,ANY,ICE
1650768442454,10,9.908062007085613,spooky,spooky,spooky,DAI,FTM,ETH
1650768442749,10,9.951685953273415,spooky,spooky,spooky,ETH,FTM,DAI
1650768443054,10,9.936687949058197,spooky,spooky,spooky,ETH,FTM,WBTC
1650768443350,10,9.959180913582077,spooky,spooky,spooky,ETH,WBTC,FTM
1650768443645,10,9.92289725,spooky,spooky,spooky,WBTC,FTM,ETH
1650768443914,10,9.96001888,spooky,spooky,spooky,WBTC,ETH,FTM
1650768444226,10,9.895144578278728,spooky,spooky,spooky,ICE,ANY,FTM
1650768444529,10,9.576044940080676,spooky,spooky,spooky,FTM,MIM,TOMB
1650768444802,10,9.372318324447454,spooky,spooky,spooky,FTM,TOMB,MIM
1650768445106,10,9.759292891728576,spooky,spooky,spooky,FTM,TOMB,BOO
1650768445457,10,9.839057433301484,spooky,spooky,spooky,FTM,BOO,TOMB
1650768445783,10,9.564488989649316,spooky,spooky,spooky,FTM,ETH,WBTC
1650768446065,10,9.9445481258099,spooky,spooky,spooky,FTM,WBTC,ETH
1650768446370,10,9.464192257651465,spooky,spooky,spooky,MIM,TOMB,FTM
1650768446664,10,9.62937321353077,spooky,spooky,spooky,TOMB,MIM,FTM
1650768446968,10,9.982621970508832,spooky,spooky,spooky,TOMB,BOO,FTM
1650768447352,10,9.79375012154381,spooky,spooky,spooky,BOO,TOMB,FTM
1650768447633,10,9.959238816778466,spooky,spooky,spooky,ETH,WBTC,FTM
1650768447924,10,9.82580991,spooky,spooky,spooky,WBTC,ETH,FTM
1650768448228,10,9.479379986291962,spooky,spooky,spooky,FTM,MIM,TOMB
1650768448503,10,9.739698992731075,spooky,spooky,spooky,FTM,BOO,TOMB
1650768448809,10,9.63262542828108,spooky,spooky,spooky,TOMB,MIM,FTM
1650768449075,10,9.985996710020574,spooky,spooky,spooky,TOMB,BOO,FTM
1650768449355,10,9.510054185275989,spooky,spirit,spirit,FTM,DAI,MIM
1650768449678,10,9.418059494058308,spooky,spirit,spirit,FTM,DAI,SPIRIT
1650768449966,10,9.714834257605869,spooky,spirit,spirit,FTM,LQDR,MIM
1650768450247,10,9.383001285768719,spooky,spirit,spirit,FTM,LQDR,SPIRIT
1650768450540,10,9.423742976002039,spooky,spirit,spirit,FTM,MIM,DAI
1650768450778,10,9.681984137919482,spooky,spirit,spirit,FTM,MIM,LQDR
1650768451082,10,9.354428931556647,spooky,spirit,spirit,FTM,SPIRIT,DAI
1650768451384,10,9.396711619221904,spooky,spirit,spirit,FTM,SPIRIT,LQDR
1650768451706,10,9.48473267476459,spooky,spirit,spirit,MIM,FTM,TOMB
1650768452013,10,9.547946494966519,spooky,spirit,spirit,MIM,TOMB,FTM
1650768452312,10,9.57462855256877,spooky,spirit,spirit,TOMB,FTM,MIM
1650768452624,10,9.5820073298285,spooky,spirit,spirit,TOMB,MIM,FTM
1650768452951,10,9.848344061392718,spooky,spirit,spirit,BOO,FTM,TOMB
1650768453222,10,9.824244689655645,spooky,spirit,spirit,BOO,TOMB,FTM
1650768453868,10,9.934517313596931,spooky,spirit,spirit,ETH,FTM,WBTC
1650768454260,10,9.925402408640041,spooky,spirit,spirit,ETH,WBTC,FTM
1650768454518,10,9.92371311,spooky,spirit,spirit,WBTC,FTM,ETH
1650768454807,10,9.93595101,spooky,spirit,spirit,WBTC,ETH,FTM
1650768455090,10,9.876466088263394,spooky,spirit,spirit,ICE,FTM,ANY
1650768455439,10,9.894628410807284,spooky,spirit,spirit,ICE,ANY,FTM
1650768455721,10,9.838077413390407,spooky,spirit,spirit,ANY,FTM,ICE
1650768456002,10,9.949208612909587,spooky,spirit,spirit,ANY,ICE,FTM
1650768456247,10,9.49784809451687,spooky,spirit,spirit,FTM,DAI,MIM
1650768456504,10,9.947913841436659,spooky,spirit,spirit,FTM,DAI,SPIRIT
1650768456795,10,9.70236465330077,spooky,spirit,spirit,FTM,LQDR,MIM
1650768457102,10,9.90876234830013,spooky,spirit,spirit,FTM,LQDR,SPIRIT
1650768457424,10,9.443544978940812,spooky,spirit,spirit,FTM,MIM,DAI
1650768457700,10,9.673599201788578,spooky,spirit,spirit,FTM,MIM,LQDR
1650768457989,10,9.374090009674918,spooky,spirit,spirit,FTM,SPIRIT,DAI
1650768458308,10,9.388565746107993,spooky,spirit,spirit,FTM,SPIRIT,LQDR
1650768458581,10,9.402918052222748,spooky,spirit,spirit,DAI,FTM,MIM
1650768458858,10,9.884891192448958,spooky,spirit,spirit,DAI,FTM,SPIRIT
1650768459157,10,9.695125877142674,spooky,spirit,spirit,LQDR,FTM,MIM
1650768459434,10,9.929928909791839,spooky,spirit,spirit,LQDR,FTM,SPIRIT
1650768459698,10,9.45567256629371,spooky,spirit,spirit,MIM,FTM,DAI
1650768459983,10,9.696408793806002,spooky,spirit,spirit,MIM,FTM,LQDR
1650768460254,10,9.54100440378798,spooky,spirit,spirit,MIM,TOMB,FTM
1650768460501,10,9.490664922129017,spooky,spirit,spirit,TOMB,MIM,FTM
1650768460739,10,9.44206424909355,spooky,spirit,spirit,SPIRIT,FTM,DAI
1650768460987,10,9.434079198078415,spooky,spirit,spirit,SPIRIT,FTM,LQDR
1650768461320,10,9.904277692922605,spooky,spirit,spirit,ETH,WBTC,FTM
1650768461649,10,9.93554308,spooky,spirit,spirit,WBTC,ETH,FTM
1650768462038,10,9.836086604063688,spooky,spirit,spirit,ICE,ANY,FTM
1650768462395,10,9.921061791013638,spooky,spirit,spirit,ANY,ICE,FTM
1650768462721,10,9.55625844774949,spooky,spirit,spirit,FTM,DAI,SPIRIT
1650768463119,10,9.52040132454995,spooky,spirit,spirit,FTM,LQDR,SPIRIT
1650768463473,10,9.438200645835208,spooky,spirit,spirit,FTM,MIM,DAI
1650768463721,10,9.691283790872474,spooky,spirit,spirit,FTM,MIM,LQDR
1650768464043,10,9.368825979623155,spooky,spirit,spirit,FTM,SPIRIT,DAI
1650768464327,10,9.405829032937518,spooky,spirit,spirit,FTM,SPIRIT,LQDR
1650768464724,10,9.886974175362276,spooky,spirit,spirit,DAI,FTM,ETH
1650768465038,10,9.909532893430615,spooky,spirit,spirit,ETH,FTM,DAI
1650768465330,10,9.93627980837611,spooky,spirit,spirit,ETH,FTM,WBTC
1650768465625,10,9.939713140214982,spooky,spirit,spirit,ETH,WBTC,FTM
1650768465915,10,9.90168489,spooky,spirit,spirit,WBTC,FTM,ETH
1650768466202,10,9.96124267,spooky,spirit,spirit,WBTC,ETH,FTM
1650768466492,10,9.899242288835987,spooky,spirit,spirit,ICE,ANY,FTM
1650768466790,10,9.296509030229032,spooky,spirit,spirit,FTM,DAI,MIM
1650768467106,10,9.860564060743805,spooky,spirit,spirit,FTM,DAI,SPIRIT
1650768467413,10,9.493067347905432,spooky,spirit,spirit,FTM,LQDR,MIM
1650768467686,10,9.822418431071824,spooky,spirit,spirit,FTM,LQDR,SPIRIT
1650768467939,10,9.698288117749513,spooky,spirit,spirit,FTM,MIM,LQDR
1650768468298,10,9.412535749235303,spooky,spirit,spirit,FTM,SPIRIT,LQDR
1650768468603,10,9.45169315628798,spooky,spirit,spirit,MIM,TOMB,FTM
1650768468893,10,9.617014293446628,spooky,spirit,spirit,TOMB,MIM,FTM
1650768469166,10,9.780928057278034,spooky,spirit,spirit,BOO,TOMB,FTM
1650768469452,10,9.939784127438761,spooky,spirit,spirit,ETH,WBTC,FTM
1650768469733,10,9.8270337,spooky,spirit,spirit,WBTC,ETH,FTM
1650768469960,10,9.620545479559144,spooky,spirit,spirit,TOMB,MIM,FTM
1650768470224,10,9.951685764093465,spooky,sushi,sushi,FTM,DAI,ETH
1650768470548,10,9.908072033651687,spooky,sushi,sushi,FTM,ETH,DAI
1650768470835,10,9.922969553963275,spooky,sushi,sushi,FTM,ETH,WBTC
1650768471098,10,9.936652846456054,spooky,sushi,sushi,FTM,WBTC,ETH
1650768471432,10,9.959817764328756,spooky,sushi,sushi,ETH,FTM,WBTC
1650768471723,10,9.847067296697032,spooky,sushi,sushi,ETH,WBTC,FTM
1650768472034,10,9.95920302,spooky,sushi,sushi,WBTC,FTM,ETH
1650768472370,10,9.900461100000001,spooky,sushi,sushi,WBTC,ETH,FTM
1650768472647,10,9.900977548217856,spooky,sushi,sushi,ANY,FTM,ICE
1650768472933,10,9.886279471068645,spooky,sushi,sushi,ANY,ICE,FTM
1650768473247,10,9.95290013522434,spooky,sushi,sushi,FTM,DAI,ETH
1650768473535,10,9.928856789543325,spooky,sushi,sushi,FTM,ETH,DAI
1650768473823,10,9.903572449576906,spooky,sushi,sushi,FTM,ETH,WBTC
1650768474087,10,9.937865410114904,spooky,sushi,sushi,FTM,WBTC,ETH
1650768474349,10,9.338139803003372,spooky,sushi,sushi,DAI,FTM,SPIRIT
1650768474615,10,9.433676877087066,spooky,sushi,sushi,LQDR,FTM,SPIRIT
1650768474863,10,9.449553865726147,spooky,sushi,sushi,MIM,FTM,DAI
1650768475160,10,9.672117649647056,spooky,sushi,sushi,MIM,FTM,LQDR
1650768475433,10,9.436860171170652,spooky,sushi,sushi,SPIRIT,FTM,DAI
1650768475688,10,9.410576843454104,spooky,sushi,sushi,SPIRIT,FTM,LQDR
1650768475951,10,9.82610944420768,spooky,sushi,sushi,ETH,WBTC,FTM
1650768476258,10,9.90005317,spooky,sushi,sushi,WBTC,ETH,FTM
1650768476497,10,9.85832266289045,spooky,sushi,sushi,ANY,ICE,FTM
1650768476743,10,9.917169965539184,spooky,sushi,sushi,FTM,DAI,ETH
1650768477002,10,9.922934401905245,spooky,sushi,sushi,FTM,ETH,DAI
1650768477282,10,9.825553292126006,spooky,sushi,sushi,FTM,ETH,WBTC
1650768477565,10,9.902189400614049,spooky,sushi,sushi,FTM,WBTC,ETH
1650768477850,10,9.922342061735732,spooky,sushi,sushi,DAI,FTM,ETH
1650768478122,10,9.903025906132026,spooky,sushi,sushi,ETH,FTM,DAI
1650768478405,10,9.961584530059929,spooky,sushi,sushi,ETH,FTM,WBTC
1650768478717,10,9.8612661945979,spooky,sushi,sushi,ETH,WBTC,FTM
1650768479019,10,9.937174800000001,spooky,sushi,sushi,WBTC,FTM,ETH
1650768479309,10,9.92534483,spooky,sushi,sushi,WBTC,ETH,FTM
1650768479614,10,9.961348217845392,spooky,sushi,sushi,FTM,DAI,ETH
1650768479876,10,9.544196426129174,spooky,sushi,sushi,FTM,ETH,WBTC
1650768480189,10,9.94631111550634,spooky,sushi,sushi,FTM,WBTC,ETH
1650768480431,10,9.86138938144492,spooky,sushi,sushi,ETH,WBTC,FTM
1650768480732,10,9.79276758,spooky,sushi,sushi,WBTC,ETH,FTM
1650768481023,10,9.61019185945977,spooky,solid,solid,MIM,FTM,TOMB
1650768481325,10,9.56213292958004,spooky,solid,solid,MIM,TOMB,FTM
1650768481614,10,9.491575767600873,spooky,solid,solid,TOMB,FTM,MIM
1650768481951,10,9.797942600901603,spooky,solid,solid,TOMB,FTM,BOO
1650768482236,10,9.37925128384329,spooky,solid,solid,TOMB,MIM,FTM
1650768482507,10,9.761284618780772,spooky,solid,solid,TOMB,BOO,FTM
1650768482808,10,9.981506179847138,spooky,solid,solid,BOO,FTM,TOMB
1650768483066,10,9.838681312466566,spooky,solid,solid,BOO,TOMB,FTM
1650768483351,10,9.8259702170998,spooky,solid,solid,ETH,FTM,WBTC
1650768483613,10,9.56385135311529,spooky,solid,solid,ETH,WBTC,FTM
1650768483921,10,9.95920302,spooky,solid,solid,WBTC,FTM,ETH
1650768484200,10,9.94451754,spooky,solid,solid,WBTC,ETH,FTM
1650768484508,10,9.312559456475345,spooky,solid,solid,DAI,FTM,MIM
1650768484751,10,9.685141209629712,spooky,solid,solid,DAI,FTM,SPIRIT
1650768485037,10,9.620725679357953,spooky,solid,solid,LQDR,FTM,MIM
1650768485362,10,9.749376390859508,spooky,solid,solid,LQDR,FTM,SPIRIT
1650768486279,10,9.72669988696871,spooky,solid,solid,MIM,FTM,LQDR
1650768486569,10,9.55518047560277,spooky,solid,solid,MIM,TOMB,FTM
1650768486857,10,9.291407398407847,spooky,solid,solid,TOMB,MIM,FTM
1650768487154,10,9.668197680109747,spooky,solid,solid,TOMB,BOO,FTM
1650768487414,10,9.46434180249649,spooky,solid,solid,SPIRIT,FTM,LQDR
1650768487699,10,9.543496766288085,spooky,solid,solid,ETH,WBTC,FTM
1650768488040,10,9.94410961,spooky,solid,solid,WBTC,ETH,FTM
1650768488350,10,9.922164100578321,spooky,solid,solid,DAI,FTM,ETH
1650768488691,10,9.827714375569167,spooky,solid,solid,ETH,FTM,WBTC
1650768488969,10,9.577645775378864,spooky,solid,solid,ETH,WBTC,FTM
1650768489286,10,9.937174800000001,spooky,solid,solid,WBTC,FTM,ETH
1650768489593,10,9.969401269999999,spooky,solid,solid,WBTC,ETH,FTM
1650768489905,10,9.465475174643586,spooky,solid,solid,MIM,TOMB,FTM
1650768490203,10,9.414248467638906,spooky,solid,solid,TOMB,MIM,FTM
1650768490557,10,9.797703897862231,spooky,solid,solid,TOMB,BOO,FTM
1650768490903,10,9.795096991934196,spooky,solid,solid,BOO,TOMB,FTM
1650768491208,10,9.577950687926641,spooky,solid,solid,ETH,WBTC,FTM
1650768491440,10,9.835192300000001,spooky,solid,solid,WBTC,ETH,FTM
1650768491701,10,9.416821465332458,spooky,solid,solid,TOMB,MIM,FTM
1650768491958,10,9.800385126518727,spooky,solid,solid,TOMB,BOO,FTM
1650768492216,10,9.612729732461935,spooky,tomb,tomb,MIM,FTM,TOMB
1650768492493,10,9.466226249137188,spooky,tomb,tomb,MIM,TOMB,FTM
1650768492779,10,9.984228081547016,spooky,tomb,tomb,BOO,FTM,TOMB
1650768493065,10,9.740000401183794,spooky,tomb,tomb,BOO,TOMB,FTM
1650768493359,10,9.459343849558477,spooky,tomb,tomb,MIM,TOMB,FTM
1650768493638,10,9.372287705533846,spooky,tomb,tomb,MIM,TOMB,FTM
1650768494095,10,9.69816560279321,spooky,tomb,tomb,BOO,TOMB,FTM
1650768494442,10,9.5687373018606,spirit,spooky,spooky,FTM,MIM,TOMB
1650768494730,10,9.498516411287222,spirit,spooky,spooky,FTM,TOMB,MIM
1650768495007,10,9.848637101101586,spirit,spooky,spooky,FTM,TOMB,BOO
1650768495259,10,9.923787166796064,spirit,spooky,spooky,FTM,ETH,WBTC
1650768495514,10,9.934482563442922,spirit,spooky,spooky,FTM,WBTC,ETH
1650768495809,10,9.834471126587205,spirit,spooky,spooky,FTM,ICE,ANY
1650768496077,10,9.878766755274356,spirit,spooky,spooky,FTM,ANY,ICE
1650768496407,10,9.493711790612677,spirit,spooky,spooky,DAI,MIM,FTM
1650768496749,10,9.39912195065184,spirit,spooky,spooky,DAI,SPIRIT,FTM
1650768497065,10,9.734150087737452,spirit,spooky,spooky,LQDR,MIM,FTM
1650768497324,10,9.42644919294983,spirit,spooky,spooky,LQDR,SPIRIT,FTM
1650768497602,10,9.563973414695674,spirit,spooky,spooky,MIM,FTM,TOMB
1650768497890,10,9.406062586354691,spirit,spooky,spooky,MIM,DAI,FTM
1650768498138,10,9.672877291737924,spirit,spooky,spooky,MIM,LQDR,FTM
1650768498418,10,9.569513448356815,spirit,spooky,spooky,TOMB,FTM,MIM
1650768498674,10,9.826047459178204,spirit,spooky,spooky,TOMB,FTM,BOO
1650768498951,10,9.422638190725056,spirit,spooky,spooky,SPIRIT,DAI,FTM
1650768499208,10,9.463013080894441,spirit,spooky,spooky,SPIRIT,LQDR,FTM
1650768499528,10,9.936149600131934,spirit,spooky,spooky,ETH,FTM,WBTC
1650768499810,10,9.92534483,spirit,spooky,spooky,WBTC,FTM,ETH
1650768500081,10,9.943435155640852,spirit,spooky,spooky,ICE,FTM,ANY
1650768500398,10,9.90064788858826,spirit,spooky,spooky,ANY,FTM,ICE
1650768500712,10,9.556799494569633,spirit,spooky,spooky,FTM,MIM,TOMB
1650768501033,10,9.486325166626568,spirit,spooky,spooky,FTM,TOMB,MIM
1650768501287,10,9.904388461599535,spirit,spooky,spooky,FTM,ETH,WBTC
1650768501654,10,9.935694866152621,spirit,spooky,spooky,FTM,WBTC,ETH
1650768501949,10,9.838670611337628,spirit,spooky,spooky,FTM,ICE,ANY
1650768502249,10,9.917468230314967,spirit,spooky,spooky,FTM,ANY,ICE
1650768502549,10,9.428194428459715,spirit,spooky,spooky,DAI,FTM,MIM
1650768502875,10,9.356159172243114,spirit,spooky,spooky,DAI,FTM,SPIRIT
1650768503191,10,9.453507680524533,spirit,spooky,spooky,DAI,MIM,FTM
1650768503529,10,9.35932504963657,spirit,spooky,spooky,DAI,SPIRIT,FTM
1650768503899,10,9.693787600407493,spirit,spooky,spooky,LQDR,FTM,MIM
1650768504201,10,9.43457145511828,spirit,spooky,spooky,LQDR,FTM,SPIRIT
1650768504474,10,9.723611961425448,spirit,spooky,spooky,LQDR,MIM,FTM
1650768504740,10,9.416236285103716,spirit,spooky,spooky,LQDR,SPIRIT,FTM
1650768505022,10,9.482375183000455,spirit,spooky,spooky,MIM,FTM,DAI
1650768505346,10,9.694462366194816,spirit,spooky,spooky,MIM,FTM,LQDR
1650768505613,10,9.399224129590092,spirit,spooky,spooky,MIM,DAI,FTM
1650768505883,10,9.665843937149353,spirit,spooky,spooky,MIM,LQDR,FTM
1650768506227,10,9.94840045450587,spirit,spooky,spooky,SPIRIT,FTM,DAI
1650768506522,10,9.908878159656783,spirit,spooky,spooky,SPIRIT,FTM,LQDR
1650768506836,10,9.885476536383068,spirit,spooky,spooky,SPIRIT,DAI,FTM
1650768507132,10,9.929961675760232,spirit,spooky,spooky,SPIRIT,LQDR,FTM
1650768507386,10,9.826360730649434,spirit,spooky,spooky,FTM,ETH,WBTC
1650768507630,10,9.900026675641394,spirit,spooky,spooky,FTM,WBTC,ETH
1650768507933,10,9.85476230827462,spirit,spooky,spooky,FTM,ANY,ICE
1650768508213,10,9.928815890414029,spirit,spooky,spooky,DAI,FTM,ETH
1650768508509,10,9.447388840917274,spirit,spooky,spooky,DAI,MIM,FTM
1650768508811,10,9.353324777931784,spirit,spooky,spooky,DAI,SPIRIT,FTM
1650768509115,10,9.699174330408495,spirit,spooky,spooky,LQDR,MIM,FTM
1650768509443,10,9.392669079363259,spirit,spooky,spooky,LQDR,SPIRIT,FTM
1650768509735,10,9.41066825591993,spirit,spooky,spooky,SPIRIT,DAI,FTM
1650768510072,10,9.451288812846524,spirit,spooky,spooky,SPIRIT,LQDR,FTM
1650768510346,10,9.952900213616715,spirit,spooky,spooky,ETH,FTM,DAI
1650768510649,10,9.937912371102536,spirit,spooky,spooky,ETH,FTM,WBTC
1650768510905,10,9.90372454,spirit,spooky,spooky,WBTC,FTM,ETH
1650768511155,10,9.569332925397052,spirit,spooky,spooky,FTM,MIM,TOMB
1650768511482,10,9.285430023162377,spirit,spooky,spooky,FTM,TOMB,MIM
1650768511757,10,9.665507403968085,spirit,spooky,spooky,FTM,TOMB,BOO
1650768512025,10,9.544962225528632,spirit,spooky,spooky,FTM,ETH,WBTC
1650768512285,10,9.944140225752767,spirit,spooky,spooky,FTM,WBTC,ETH
1650768512542,10,9.75478647779183,spirit,spooky,spooky,LQDR,MIM,FTM
1650768512806,10,9.446433788102995,spirit,spooky,spooky,LQDR,SPIRIT,FTM
1650768513137,10,9.313812078307475,spirit,spooky,spooky,MIM,DAI,FTM
1650768513417,10,9.573036360590631,spirit,spooky,spooky,MIM,LQDR,FTM
1650768513708,10,9.7129908041453,spirit,spooky,spooky,SPIRIT,DAI,FTM
1650768513962,10,9.75604804187547,spirit,spooky,spooky,SPIRIT,LQDR,FTM
1650768514278,10,9.47473478636375,spirit,spooky,spooky,FTM,MIM,TOMB
